billing_month,service,sku_description,usage_amount,usage_unit,cost
2024-01,Compute Engine,N1 Standard Instance,720,hours,3150.20
2024-01,Cloud SQL,PostgreSQL db-n1-standard-4,720,hours,2680.40
2024-01,Cloud Storage,Standard Storage TB-mo,42,GB-mo,180.10
2024-01,Cloud Run,CPU allocation,480000,CPU-seconds,420.00
2024-01,Cloud Functions,Invocations + GB-sec,1e+07,requests,210.50
2024-01,Pub/Sub,Message delivery,8.2e+09,operations,95.00
2024-01,BigQuery,Analysis TB,18,TB,340.00
2024-01,Networking,Cloud NAT + egress,1,month,280.00
2024-01,Memorystore,Redis STANDARD_HA 5GB,720,hours,420.80
2024-02,Compute Engine,N1 Standard Instance,720,hours,3220.00
2024-02,Cloud SQL,PostgreSQL db-n1-standard-4,720,hours,2710.50
2024-02,Cloud Storage,Standard + Nearline,48,GB-mo,195.00
2024-02,Cloud Run,CPU allocation,510000,CPU-seconds,445.00
2024-02,Cloud Functions,Invocations + GB-sec,1.1e+07,requests,225.00
2024-02,Pub/Sub,Message delivery,8.5e+09,operations,102.00
2024-02,BigQuery,Analysis TB,19,TB,355.00
2024-02,Networking,Cloud NAT + egress,1,month,290.00
2024-02,Memorystore,Redis STANDARD_HA 5GB,720,hours,428.50
2024-03,Compute Engine,N1 Standard Instance,720,hours,3280.30
2024-03,Cloud SQL,PostgreSQL db-n1-standard-4,720,hours,2750.00
2024-03,Cloud Storage,Standard + Nearline,50,GB-mo,205.00
2024-03,Cloud Run,CPU allocation,530000,CPU-seconds,460.00
2024-03,Cloud Functions,Invocations + GB-sec,1.15e+07,requests,232.00
2024-03,Pub/Sub,Message delivery,8.8e+09,operations,108.00
2024-03,BigQuery,Analysis TB,20,TB,368.00
2024-03,Networking,Cloud NAT + egress,1,month,298.70
2024-03,Memorystore,Redis STANDARD_HA 5GB,720,hours,435.00
2024-04,Compute Engine,N1 Standard Instance,720,hours,3310.00
2024-04,Cloud SQL,PostgreSQL db-n1-standard-4,720,hours,2785.00
2024-04,Cloud Storage,Standard + Nearline,52,GB-mo,212.00
2024-04,Cloud Run,CPU allocation,545000,CPU-seconds,472.00
2024-04,Cloud Functions,Invocations + GB-sec,1.2e+07,requests,238.00
2024-04,Pub/Sub,Message delivery,9e+09,operations,112.00
2024-04,BigQuery,Analysis TB,21,TB,378.00
2024-04,Networking,Cloud NAT + egress,1,month,305.00
2024-04,Memorystore,Redis STANDARD_HA 5GB,720,hours,440.00
2024-05,Compute Engine,N1 Standard Instance,720,hours,3345.00
2024-05,Cloud SQL,PostgreSQL db-n1-standard-4,720,hours,2810.00
2024-05,Cloud Storage,Standard + Nearline,54,GB-mo,218.00
2024-05,Cloud Run,CPU allocation,560000,CPU-seconds,485.00
2024-05,Cloud Functions,Invocations + GB-sec,1.22e+07,requests,242.00
