Billing account ID,Project ID,Project Name,Service description,SKU description,Usage start date,Usage end date,Usage amount,Usage unit,Cost ($),Credits ($),Currency
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Compute Engine,N1 Standard 4 Instance Core running,2024-01-01,2024-01-28,1460.08,hour,277.41,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Compute Engine,N1 Highmem 4 Instance Core running,2024-01-01,2024-01-28,685.8,hour,172.0,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Compute Engine,SSD backed PD Capacity,2024-01-01,2024-01-28,391.0,gibibyte month,66.47,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Compute Engine,Network Egress via Carrier Peering,2024-01-01,2024-01-28,243.08,gibibyte,20.66,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud SQL,Cloud SQL for PostgreSQL: N1 Standard 4,2024-01-01,2024-01-28,737.03,hour,282.72,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud SQL,Cloud SQL for PostgreSQL: N1 Standard 2,2024-01-01,2024-01-28,732.72,hour,140.54,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud SQL,Cloud SQL for PostgreSQL: SSD Storage,2024-01-01,2024-01-28,207.84,gibibyte month,35.33,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud SQL,Cloud SQL for PostgreSQL: HA,2024-01-01,2024-01-28,690.26,hour,264.78,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Memorystore for Redis,Redis Capacity Standard M4,2024-01-01,2024-01-28,2897.2,gibibyte hour,141.96,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud Storage,Standard Storage US Multi-region,2024-01-01,2024-01-28,485.89,gibibyte month,12.63,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud Storage,Coldline Storage US Multi-region,2024-01-01,2024-01-28,1966.24,gibibyte month,13.76,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud Storage,Class A Operations,2024-01-01,2024-01-28,15.01,10 thousand operations,0.75,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud Storage,Network Egress,2024-01-01,2024-01-28,95.27,gibibyte,11.43,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud Run,CPU Allocation Time,2024-01-01,2024-01-28,3415815.54,vcpu-second,81.98,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud Run,Memory Allocation Time,2024-01-01,2024-01-28,5039583.98,gibibyte-second,12.6,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud Functions,CPU Time,2024-01-01,2024-01-28,828762.55,GHz-second,8.29,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud Functions,Memory Time,2024-01-01,2024-01-28,232905.75,gibibyte-second,0.58,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud Functions,Invocations,2024-01-01,2024-01-28,2142825.09,invocation,0.86,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud Pub/Sub,Message Delivery Basic,2024-01-01,2024-01-28,0.37,tebibyte,14.97,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,BigQuery,Analysis Bytes Processed,2024-01-01,2024-01-28,1.51,tebibyte,7.56,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,BigQuery,Active Storage,2024-01-01,2024-01-28,152.75,gibibyte month,3.06,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud DNS,Managed Zone,2024-01-01,2024-01-28,1.02,managed zone month,0.2,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud DNS,Queries,2024-01-01,2024-01-28,4.92,million queries,1.97,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Compute Engine,N1 Standard 4 Instance Core running,2024-02-01,2024-02-28,1390.39,hour,264.17,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Compute Engine,N1 Highmem 4 Instance Core running,2024-02-01,2024-02-28,752.92,hour,188.83,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Compute Engine,SSD backed PD Capacity,2024-02-01,2024-02-28,393.46,gibibyte month,66.89,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Compute Engine,Network Egress via Carrier Peering,2024-02-01,2024-02-28,239.82,gibibyte,20.38,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud SQL,Cloud SQL for PostgreSQL: N1 Standard 4,2024-02-01,2024-02-28,690.96,hour,265.05,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud SQL,Cloud SQL for PostgreSQL: N1 Standard 2,2024-02-01,2024-02-28,745.02,hour,142.89,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud SQL,Cloud SQL for PostgreSQL: SSD Storage,2024-02-01,2024-02-28,202.07,gibibyte month,34.35,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud SQL,Cloud SQL for PostgreSQL: HA,2024-02-01,2024-02-28,742.11,hour,284.67,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Memorystore for Redis,Redis Capacity Standard M4,2024-02-01,2024-02-28,2987.08,gibibyte hour,146.37,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud Storage,Standard Storage US Multi-region,2024-02-01,2024-02-28,516.12,gibibyte month,13.42,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud Storage,Coldline Storage US Multi-region,2024-02-01,2024-02-28,2118.48,gibibyte month,14.83,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud Storage,Class A Operations,2024-02-01,2024-02-28,14.82,10 thousand operations,0.74,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud Storage,Network Egress,2024-02-01,2024-02-28,100.52,gibibyte,12.06,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud Run,CPU Allocation Time,2024-02-01,2024-02-28,5685856.79,vcpu-second,136.46,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud Run,Memory Allocation Time,2024-02-01,2024-02-28,4926671.11,gibibyte-second,12.32,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud Functions,CPU Time,2024-02-01,2024-02-28,1031492.42,GHz-second,10.31,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud Functions,Memory Time,2024-02-01,2024-02-28,318564.51,gibibyte-second,0.8,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud Functions,Invocations,2024-02-01,2024-02-28,2327314.94,invocation,0.93,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud Pub/Sub,Message Delivery Basic,2024-02-01,2024-02-28,0.19,tebibyte,7.64,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,BigQuery,Analysis Bytes Processed,2024-02-01,2024-02-28,1.96,tebibyte,9.78,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,BigQuery,Active Storage,2024-02-01,2024-02-28,152.55,gibibyte month,3.05,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud DNS,Managed Zone,2024-02-01,2024-02-28,0.96,managed zone month,0.19,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Cloud DNS,Queries,2024-02-01,2024-02-28,4.87,million queries,1.95,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Compute Engine,N1 Standard 4 Instance Core running,2024-03-01,2024-03-28,1382.54,hour,262.68,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Compute Engine,N1 Highmem 4 Instance Core running,2024-03-01,2024-03-28,704.01,hour,176.57,0.0,USD
01A2B3-C4D5E6-F7G8H9,novapay-production,NovaPay Production,Compute Engine,SSD backed PD Capacity,2024-03-01,2024-03-28,405.43,gibibyte month,68.92,0.0,USD
